instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,account_type,correspondent_bank,is_required_reserve,data_source,version
CORR_ACC_00000000,correspondent_account,30114,-3495879.3401460634,RUB,2017-11-06,,0.0008357755730959199,BANK_000,bank,2024-12-31,loro,Bank_000,False,mock_generator,1.0
CORR_ACC_00000001,correspondent_account,30102,-313416.8828482774,RUB,2017-04-14,,0.0005097441793637253,BANK_001,bank,2024-12-31,loro,Bank_001,False,mock_generator,1.0
CORR_ACC_00000002,correspondent_account,30102,10935313.25470632,RUB,2020-02-21,,0.000517557140769597,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000003,correspondent_account,30110,25851160.538792063,RUB,2020-02-11,,0.0007145796209769907,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000004,correspondent_account,30109,63034360.4421297,RUB,2022-02-18,,0.0008929901459306422,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000005,correspondent_account,30110,61051.62592717994,USD,2023-02-27,,0.00035958461112344816,BANK_005,bank,2024-12-31,nostro,Bank_005,False,mock_generator,1.0
CORR_ACC_00000006,correspondent_account,30102,15658.60109337124,USD,2021-10-16,,0.0009749792682010544,BANK_006,bank,2024-12-31,nostro,Bank_006,False,mock_generator,1.0
CORR_ACC_00000007,correspondent_account,30109,97154586.16733016,RUB,2017-07-14,,0.0002215853369564862,BANK_007,bank,2024-12-31,nostro,Bank_007,False,mock_generator,1.0
CORR_ACC_00000008,correspondent_account,30114,35385436.723573335,RUB,2022-02-25,,0.0001561454628875121,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000009,correspondent_account,30114,-92302.06411377144,EUR,2017-11-27,,0.0008617949309840128,BANK_009,bank,2024-12-31,loro,Bank_009,False,mock_generator,1.0
CORR_ACC_00000010,correspondent_account,30109,242305385.22204867,RUB,2021-11-06,,0.00036094628592788186,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000011,correspondent_account,30110,5852310.37726762,RUB,2019-06-23,,0.00011631679204775447,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000012,correspondent_account,30114,54039.901242314205,CNY,2016-08-22,,0.0003121932339887421,BANK_012,bank,2024-12-31,nostro,Bank_012,False,mock_generator,1.0
