instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,is_transactional,stable_portion,avg_life_days,data_source,version
CURR_ACC_00000000,current_account,40802,3171.3153986552907,RUB,2024-06-21,,0.00048762303901165596,CPTY_RETAIL_00000,retail,2024-12-31,True,0.6816314818849496,263,mock_generator,1.0
CURR_ACC_00000001,current_account,40817,180797.70849788003,RUB,2023-08-20,,0.0008298247584747409,CPTY_RETAIL_00001,retail,2024-12-31,True,0.5605685018681756,248,mock_generator,1.0
CURR_ACC_00000002,current_account,40817,27402.439191294856,RUB,2024-04-05,,0.00027760695163236705,CPTY_CORPORATE_00002,corporate,2024-12-31,True,0.4271168540202527,215,mock_generator,1.0
CURR_ACC_00000003,current_account,40702,11788.282245888648,USD,2023-05-30,,0.0019043564023036252,CPTY_CORPORATE_00003,corporate,2024-12-31,True,0.39319880929134676,174,mock_generator,1.0
CURR_ACC_00000004,current_account,40702,189724438.42523876,RUB,2021-01-24,,0.0037897976707277764,CPTY_CORPORATE_00004,corporate,2024-12-31,True,0.45482695147234314,113,mock_generator,1.0
CURR_ACC_00000005,current_account,40817,24578.163698382137,RUB,2021-01-26,,0.0025091855980241594,CPTY_RETAIL_00005,retail,2024-12-31,True,0.5526238082827981,314,mock_generator,1.0
CURR_ACC_00000006,current_account,40802,8538032.518401861,RUB,2020-12-31,,0.002436721920951417,CPTY_GOVERNMENT_00006,government,2024-12-31,True,0.8036840911117341,265,mock_generator,1.0
CURR_ACC_00000007,current_account,40703,224034.47301417164,RUB,2020-03-23,,0.002103862619083434,CPTY_CORPORATE_00007,corporate,2024-12-31,True,0.4257435763889491,223,mock_generator,1.0
CURR_ACC_00000008,current_account,40817,1275712.9097574304,RUB,2022-09-12,,0.0010595570791759152,CPTY_CORPORATE_00008,corporate,2024-12-31,True,0.39795238953112533,144,mock_generator,1.0
CURR_ACC_00000009,current_account,40703,7830.3375307197975,RUB,2021-10-16,,0.0011172129034981893,CPTY_RETAIL_00009,retail,2024-12-31,True,0.5765145863470026,218,mock_generator,1.0
CURR_ACC_00000010,current_account,40702,20593.425163498272,RUB,2020-04-14,,0.0022472144004917,CPTY_CORPORATE_00010,corporate,2024-12-31,True,0.3094020880572934,94,mock_generator,1.0
CURR_ACC_00000011,current_account,40703,12309.991047359497,RUB,2021-05-01,,0.0015402195832551102,CPTY_RETAIL_00011,retail,2024-12-31,True,0.5364481249490207,361,mock_generator,1.0
CURR_ACC_00000012,current_account,40817,19142.995681236556,USD,2021-01-07,,0.0024147523231172812,CPTY_RETAIL_00012,retail,2024-12-31,True,0.5762792718291981,244,mock_generator,1.0
CURR_ACC_00000013,current_account,40817,2323.355954627376,RUB,2023-04-08,,0.00020842112830705473,CPTY_RETAIL_00013,retail,2024-12-31,True,0.6406297745276794,290,mock_generator,1.0
CURR_ACC_00000014,current_account,40802,611.138433961503,USD,2021-04-24,,0.00043187328325738184,CPTY_CORPORATE_00014,corporate,2024-12-31,True,0.4671295798206618,177,mock_generator,1.0
CURR_ACC_00000015,current_account,40703,2034.8087754552598,RUB,2023-12-12,,0.003759888283350713,CPTY_RETAIL_00015,retail,2024-12-31,True,0.5587728689744558,251,mock_generator,1.0
CURR_ACC_00000016,current_account,40802,47579.44394683962,RUB,2024-03-09,,0.0018932513860769823,CPTY_CORPORATE_00016,corporate,2024-12-31,True,0.30127187681866013,268,mock_generator,1.0
CURR_ACC_00000017,current_account,40817,1169.8123759846164,CNY,2023-11-04,,0.0015199245971450187,CPTY_CORPORATE_00017,corporate,2024-12-31,True,0.44159286397212344,220,mock_generator,1.0
CURR_ACC_00000018,current_account,40817,11453.432279929812,RUB,2021-02-02,,0.003877122514495871,CPTY_RETAIL_00018,retail,2024-12-31,True,0.5251413516377835,267,mock_generator,1.0
CURR_ACC_00000019,current_account,40802,40235149.994260274,RUB,2024-04-14,,0.002395169025995895,CPTY_CORPORATE_00019,corporate,2024-12-31,True,0.4988467770693591,114,mock_generator,1.0
CURR_ACC_00000020,current_account,40802,162040.7105782552,RUB,2023-03-29,,0.0016791689809191961,CPTY_RETAIL_00020,retail,2024-12-31,True,0.5698018469208759,297,mock_generator,1.0
CURR_ACC_00000021,current_account,40802,539497.2357400951,RUB,2022-09-12,,0.0011755269181741074,CPTY_RETAIL_00021,retail,2024-12-31,True,0.5854224467003167,262,mock_generator,1.0
CURR_ACC_00000022,current_account,40702,9711.679230747386,USD,2023-06-30,,0.0014968667446383405,CPTY_CORPORATE_00022,corporate,2024-12-31,True,0.3077699793135343,142,mock_generator,1.0
CURR_ACC_00000023,current_account,40703,20504.332846491394,EUR,2024-07-24,,0.002252575976000801,CPTY_CORPORATE_00023,corporate,2024-12-31,True,0.3165477730018749,213,mock_generator,1.0
CURR_ACC_00000024,current_account,40702,1008833.6093572645,RUB,2022-12-26,,0.004129525644147997,CPTY_CORPORATE_00024,corporate,2024-12-31,True,0.32041001528254537,204,mock_generator,1.0
CURR_ACC_00000025,current_account,40802,2306.519266638413,USD,2023-03-23,,0.003988601688729826,CPTY_CORPORATE_00025,corporate,2024-12-31,True,0.3487100652622483,121,mock_generator,1.0
CURR_ACC_00000026,current_account,40802,2019922.4629382568,RUB,2020-01-20,,0.0023044796789296507,CPTY_CORPORATE_00026,corporate,2024-12-31,True,0.4052210888971201,129,mock_generator,1.0
CURR_ACC_00000027,current_account,40817,36157.128389548845,RUB,2022-12-28,,0.0036734658952905174,CPTY_RETAIL_00027,retail,2024-12-31,True,0.6352018961846834,213,mock_generator,1.0
CURR_ACC_00000028,current_account,40802,56798574.457037345,RUB,2024-04-08,,0.002369922619715056,CPTY_CORPORATE_00028,corporate,2024-12-31,True,0.46710288219350604,95,mock_generator,1.0
CURR_ACC_00000029,current_account,40703,8041379.982247988,RUB,2020-12-31,,0.004260676292973762,CPTY_CORPORATE_00029,corporate,2024-12-31,True,0.38536469998029205,231,mock_generator,1.0
CURR_ACC_00000030,current_account,40817,19257.086274242105,EUR,2023-01-05,,0.004951297417535827,CPTY_CORPORATE_00030,corporate,2024-12-31,True,0.4359438784402693,156,mock_generator,1.0
CURR_ACC_00000031,current_account,40703,88790.4262043765,RUB,2021-08-01,,0.00044568414704892036,CPTY_CORPORATE_00031,corporate,2024-12-31,True,0.3923333236233155,157,mock_generator,1.0
CURR_ACC_00000032,current_account,40817,1151.153842001742,RUB,2023-01-30,,0.004751799652712269,CPTY_RETAIL_00032,retail,2024-12-31,True,0.6047485247006273,250,mock_generator,1.0
CURR_ACC_00000033,current_account,40703,172973.28726478823,RUB,2021-09-21,,0.00408518790624014,CPTY_RETAIL_00033,retail,2024-12-31,True,0.6112469656023738,292,mock_generator,1.0
CURR_ACC_00000034,current_account,40802,37347729.18449236,RUB,2022-03-31,,0.0009558832620065722,CPTY_CORPORATE_00034,corporate,2024-12-31,True,0.4547083692267213,120,mock_generator,1.0
CURR_ACC_00000035,current_account,40703,24969.7470508653,RUB,2022-07-31,,0.0021659405637360356,CPTY_RETAIL_00035,retail,2024-12-31,True,0.5731980255913884,218,mock_generator,1.0
CURR_ACC_00000036,current_account,40817,500000000.0,RUB,2022-10-13,,0.004820109515467703,CPTY_CORPORATE_00036,corporate,2024-12-31,True,0.35775704484285537,164,mock_generator,1.0
CURR_ACC_00000037,current_account,40817,48128.28429201473,RUB,2024-05-03,,0.0008028771485237685,CPTY_CORPORATE_00037,corporate,2024-12-31,True,0.4231191071719592,196,mock_generator,1.0
CURR_ACC_00000038,current_account,40817,121698.10301134833,RUB,2024-04-26,,0.0010981218840802427,CPTY_CORPORATE_00038,corporate,2024-12-31,True,0.4935502973667158,174,mock_generator,1.0
CURR_ACC_00000039,current_account,40817,554408.4599452455,RUB,2022-01-28,,0.001500445485530434,CPTY_RETAIL_00039,retail,2024-12-31,True,0.5040677704360862,347,mock_generator,1.0
CURR_ACC_00000040,current_account,40817,10047.087531376097,RUB,2024-10-20,,0.003894725794571101,CPTY_RETAIL_00040,retail,2024-12-31,True,0.6854357335286919,313,mock_generator,1.0
