instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,is_placement,counterparty_bank,credit_rating,data_source,version
MBK_00000000,interbank_loan,32101,360669986.7401624,RUB,2024-12-12,2025-01-11,0.16741991738794426,BANK_000,bank,2024-12-31,True,Bank_000,BBB,mock_generator,1.0
MBK_00000001,interbank_loan,32102,73354486.11667503,RUB,2024-12-17,2025-06-15,0.16391243085419516,BANK_001,bank,2024-12-31,True,Bank_001,A,mock_generator,1.0
MBK_00000002,interbank_loan,32101,-8266763.394106929,RUB,2024-12-25,2025-01-08,0.15635504345166834,BANK_002,bank,2024-12-31,False,Bank_002,AA,mock_generator,1.0
MBK_00000003,interbank_loan,32101,16076832.428878075,RUB,2024-12-27,2025-01-03,0.15713098100154943,BANK_003,bank,2024-12-31,True,Bank_003,BB,mock_generator,1.0
MBK_00000004,interbank_loan,32001,-174545943.938125,RUB,2024-12-31,2025-01-07,0.16499520006039017,BANK_004,bank,2024-12-31,False,Bank_004,BBB,mock_generator,1.0
MBK_00000005,interbank_loan,32101,-58823.529411764706,EUR,2024-12-12,2025-06-10,0.036886196632921496,BANK_005,bank,2024-12-31,False,Bank_005,A,mock_generator,1.0
MBK_00000006,interbank_loan,32101,58823.529411764706,EUR,2024-12-26,2025-01-25,0.05224233633876461,BANK_006,bank,2024-12-31,True,Bank_006,AA,mock_generator,1.0
MBK_00000007,interbank_loan,32102,-11721372.621768124,RUB,2024-12-23,2025-01-06,0.15833857982031824,BANK_007,bank,2024-12-31,False,Bank_007,AA,mock_generator,1.0
MBK_00000008,interbank_loan,32102,-40291929.34411466,RUB,2024-12-18,2025-03-18,0.15885487358606976,BANK_008,bank,2024-12-31,False,Bank_008,BBB,mock_generator,1.0
MBK_00000009,interbank_loan,32002,-50319652.946491815,RUB,2024-12-31,2025-01-01,0.16455562101609517,BANK_009,bank,2024-12-31,False,Bank_009,A,mock_generator,1.0
MBK_00000010,interbank_loan,32102,731719.9844996562,USD,2024-12-31,2025-01-01,0.06968942657062292,BANK_010,bank,2024-12-31,True,Bank_010,BBB,mock_generator,1.0
MBK_00000011,interbank_loan,32002,-58823.529411764706,EUR,2024-12-31,2025-01-01,0.04414061342737959,BANK_011,bank,2024-12-31,False,Bank_011,A,mock_generator,1.0
MBK_00000012,interbank_loan,32101,127018.78889073385,USD,2024-12-18,2025-01-17,0.05865406689078221,BANK_012,bank,2024-12-31,True,Bank_012,AA,mock_generator,1.0
MBK_00000013,interbank_loan,32002,36930774.42167201,RUB,2024-12-30,2025-01-29,0.1682888225493987,BANK_013,bank,2024-12-31,True,Bank_013,BBB,mock_generator,1.0
MBK_00000014,interbank_loan,32101,18993957.11991815,RUB,2024-12-27,2025-01-26,0.1567176405619719,BANK_014,bank,2024-12-31,True,Bank_014,BBB,mock_generator,1.0
MBK_00000015,interbank_loan,32001,-58823.529411764706,USD,2024-12-31,2025-03-31,0.06422925336274506,BANK_015,bank,2024-12-31,False,Bank_015,A,mock_generator,1.0
