instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,off_balance_type,notional_amount,draw_down_probability,expiry_date,settlement_date,derivative_type,pay_leg_currency,receive_leg_currency,pay_leg_amount,receive_leg_amount,is_payer,utilized_amount,available_amount,data_source,version
OFF_BAL_00000000,off_balance,99999,1272029.254163834,USD,2024-08-03,,,CPTY_OFF_BAL_0000,bank,2024-12-31,forward,1272029.254163834,,2025-08-08,2025-08-08,FX_FORWARD,USD,EUR,1272029.254163834,108122486.6039259,,,,mock_generator,1.0
OFF_BAL_00000001,off_balance,99999,29814.259872877567,EUR,2024-10-23,,,CPTY_OFF_BAL_0001,bank,2024-12-31,guarantee,29814.259872877567,0.3899252918590822,2025-10-06,,,,,,,,5546.423958778615,24267.835914098952,mock_generator,1.0
OFF_BAL_00000002,off_balance,99999,479042.37489213515,EUR,2024-10-26,,,CPTY_OFF_BAL_0002,corporate,2024-12-31,credit_line,479042.37489213515,0.3009734652376219,2027-04-21,,,,,,,,116765.2769573129,362277.09793482226,mock_generator,1.0
OFF_BAL_00000003,off_balance,99999,276127471.93641376,RUB,2024-07-16,,,CPTY_OFF_BAL_0003,corporate,2024-12-31,forward,276127471.93641376,,2025-08-02,2025-08-02,FX_FORWARD,RUB,EUR,276127471.93641376,3068083.0215157084,,,,mock_generator,1.0
OFF_BAL_00000004,off_balance,99999,5215430.917016551,RUB,2024-08-03,,,CPTY_OFF_BAL_0004,corporate,2024-12-31,guarantee,5215430.917016551,0.477077986050946,2025-06-24,,,,,,,,2094625.8420503335,3120805.0749662174,mock_generator,1.0
OFF_BAL_00000005,off_balance,99999,98943158.23122251,RUB,2024-10-11,,,CPTY_OFF_BAL_0005,corporate,2024-12-31,credit_line,98943158.23122251,0.44973460368100127,2025-11-11,,,,,,,,5706896.226613456,93236262.00460905,mock_generator,1.0
OFF_BAL_00000006,off_balance,99999,21154587.879447505,RUB,2024-07-09,,,CPTY_OFF_BAL_0006,government,2024-12-31,forward,21154587.879447505,,2026-04-27,2026-04-27,FX_FORWARD,RUB,USD,21154587.879447505,248877.5044640883,,,,mock_generator,1.0
OFF_BAL_00000007,off_balance,99999,24307692.41139316,RUB,2024-08-29,,,CPTY_OFF_BAL_0007,corporate,2024-12-31,credit_line,24307692.41139316,0.3495294226511624,2026-04-03,,,,,,,,10459154.172140395,13848538.239252763,mock_generator,1.0
OFF_BAL_00000008,off_balance,99999,6146452.386346731,RUB,2024-10-25,,,CPTY_OFF_BAL_0008,corporate,2024-12-31,credit_line,6146452.386346731,0.22084199929883727,2025-09-30,,,,,,,,1177463.972947488,4968988.413399244,mock_generator,1.0
OFF_BAL_00000009,off_balance,99999,45918608.16115553,RUB,2024-10-29,,,CPTY_OFF_BAL_0009,bank,2024-12-31,credit_line,45918608.16115553,0.33516539544042867,2027-05-29,,,,,,,,14609126.827112144,31309481.334043384,mock_generator,1.0
OFF_BAL_00000010,off_balance,99999,1000000.0,RUB,2024-12-15,,,CPTY_OFF_BAL_0010,corporate,2024-12-31,credit_line,1000000.0,0.5742741864767309,2027-04-07,,,,,,,,38219.28431204402,961780.715687956,mock_generator,1.0
OFF_BAL_00000011,off_balance,99999,461806.10488182394,EUR,2024-12-25,,,CPTY_OFF_BAL_0011,bank,2024-12-31,guarantee,461806.10488182394,0.20950046078007314,2025-04-27,,,,,,,,12441.242803319068,449364.86207850487,mock_generator,1.0
OFF_BAL_00000012,off_balance,99999,2770445.0175749836,RUB,2024-10-31,,,CPTY_OFF_BAL_0012,corporate,2024-12-31,credit_line,2770445.0175749836,0.5146025131292196,2025-06-11,,,,,,,,163816.54144277517,2606628.4761322085,mock_generator,1.0
OFF_BAL_00000013,off_balance,99999,2756523.0539569273,EUR,2024-08-05,,,CPTY_OFF_BAL_0013,bank,2024-12-31,credit_line,2756523.0539569273,0.2437900810600549,2027-10-07,,,,,,,,568665.4483922697,2187857.6055646576,mock_generator,1.0
