instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,liability_category,is_monetary,priority_level,data_source,version
OTHER_LIAB_00000000,other_liability,60401,30324957.691657532,RUB,2024-08-31,2026-03-21,,,,2024-12-31,reserves,False,subordinated,mock_generator,1.0
OTHER_LIAB_00000001,other_liability,60302,1914915.5705469577,RUB,2024-12-30,2025-02-20,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000002,other_liability,60302,61574305.63983864,RUB,2024-12-31,2025-02-09,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000003,other_liability,60302,1197062.981898067,RUB,2024-12-31,2025-01-14,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000004,other_liability,60302,1802673.7288715234,RUB,2024-09-18,2026-03-04,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000005,other_liability,60303,58493.69875474536,RUB,2024-12-27,2025-02-27,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000006,other_liability,60302,38189590.18825017,RUB,2024-12-25,2025-03-23,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000007,other_liability,60401,395480.0442166714,RUB,2024-12-24,2025-01-26,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000008,other_liability,60302,1915981.2558780434,RUB,2024-12-04,2025-12-12,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000009,other_liability,60303,98732.50468726849,RUB,2024-12-31,2025-01-09,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000010,other_liability,60302,10578211.148653302,RUB,2024-12-23,2025-02-22,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000011,other_liability,60303,4389511.676202082,RUB,2024-12-12,2025-02-25,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000012,other_liability,60401,26533880.956288226,RUB,2024-12-06,2026-06-11,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000013,other_liability,60303,136410169.0434104,RUB,2024-11-26,2025-06-03,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000014,other_liability,60302,2355386.770760428,RUB,2024-12-04,2025-10-16,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000015,other_liability,60303,709166.8398434806,RUB,2024-11-17,2025-10-01,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000016,other_liability,60303,1262919.9803065364,RUB,2024-11-08,2025-10-16,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000017,other_liability,60401,552735.0683738568,RUB,2024-08-24,2025-12-26,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000018,other_liability,60302,361361.1780666156,RUB,2024-12-27,2025-01-16,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000019,other_liability,60401,40845144.171799235,RUB,2024-10-20,2026-04-29,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000020,other_liability,60303,13148663.518958032,RUB,2024-12-30,2025-01-05,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000021,other_liability,60303,5440891.447129547,RUB,2024-12-18,2025-07-20,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
