instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,repo_rate,collateral_type,collateral_value,haircut,data_source,version
REPO_00000000,repo,50601,10000000.0,RUB,2024-12-27,2025-01-10,0.1604014477578737,REPO_CPTY_000,bank,2024-12-31,0.1604014477578737,Corporate_Bonds,11522247.109238833,0.15222471092388315,mock_generator,1.0
REPO_00000001,repo,50601,1002755.8016836428,USD,2024-12-25,2025-01-08,0.054961314172535254,REPO_CPTY_001,bank,2024-12-31,0.054961314172535254,Corporate_Bonds,1193138.3456641596,0.18985932932111838,mock_generator,1.0
REPO_00000002,repo,50602,10000000.0,RUB,2024-12-25,2025-01-01,0.16139346796542525,REPO_CPTY_002,bank,2024-12-31,0.16139346796542525,OFZ,10669902.819153452,0.06699028191534515,mock_generator,1.0
REPO_00000003,repo,50601,74691640.06947216,RUB,2024-12-31,2025-01-01,0.16496029644863644,REPO_CPTY_003,bank,2024-12-31,0.16496029644863644,OFZ,74715969.7085012,0.00032573443301567865,mock_generator,1.0
REPO_00000004,repo,50601,23450224.113381736,RUB,2024-12-31,2025-01-02,0.1648410086993853,REPO_CPTY_004,bank,2024-12-31,0.1648410086993853,Corporate_Bonds,26990229.530787736,0.1509582765729695,mock_generator,1.0
REPO_00000005,repo,50601,671348.352348653,USD,2024-12-31,2025-01-30,0.057313576107992203,REPO_CPTY_005,bank,2024-12-31,0.057313576107992203,Corporate_Bonds,766163.358493419,0.1412307125102252,mock_generator,1.0
REPO_00000006,repo,50601,117647.05882352941,USD,2024-12-31,2025-01-01,0.057870039645526165,REPO_CPTY_006,bank,2024-12-31,0.057870039645526165,Corporate_Bonds,128464.64314441856,0.09194946672755777,mock_generator,1.0
REPO_00000007,repo,50601,10000000.0,RUB,2024-12-31,2025-01-02,0.1565090124189419,REPO_CPTY_007,bank,2024-12-31,0.1565090124189419,OFZ,10385742.479992997,0.03857424799929962,mock_generator,1.0
REPO_00000008,repo,50602,181063.72080702314,USD,2024-12-25,2025-01-08,0.059653637946593854,REPO_CPTY_008,bank,2024-12-31,0.059653637946593854,OFZ,189266.1367965283,0.04530126716133945,mock_generator,1.0
REPO_00000009,repo,50601,14803296.350182625,RUB,2024-12-31,2025-01-07,0.16310791618613268,REPO_CPTY_009,bank,2024-12-31,0.16310791618613268,OFZ,15076789.761397418,0.018475169634188972,mock_generator,1.0
REPO_00000010,repo,50602,120366.53068833708,USD,2024-12-26,2025-01-25,0.05962190921707786,REPO_CPTY_010,bank,2024-12-31,0.05962190921707786,OFZ,131077.04975569845,0.08898253531202893,mock_generator,1.0
REPO_00000011,repo,50602,95094990.00212175,RUB,2024-12-28,2025-01-27,0.15621247754196024,REPO_CPTY_011,bank,2024-12-31,0.15621247754196024,OFZ,96975506.23246787,0.019775134634371052,mock_generator,1.0
REPO_00000012,repo,50602,20653066.358968843,RUB,2024-12-31,2025-03-31,0.15621855785384078,REPO_CPTY_012,bank,2024-12-31,0.15621855785384078,Corporate_Bonds,24297414.731456287,0.17645555914775068,mock_generator,1.0
REPO_00000013,repo,50602,10000000.0,RUB,2024-12-29,2025-01-12,0.15534284146819569,REPO_CPTY_013,bank,2024-12-31,0.15534284146819569,OFZ,10571810.773968546,0.05718107739685459,mock_generator,1.0
REPO_00000014,repo,50602,10000000.0,RUB,2024-12-27,2025-01-03,0.16138549882440814,REPO_CPTY_014,bank,2024-12-31,0.16138549882440814,Corporate_Bonds,10907539.198237393,0.0907539198237392,mock_generator,1.0
REPO_00000015,repo,50602,68936004.66001534,RUB,2024-12-30,2025-01-01,0.1595267421874188,REPO_CPTY_015,bank,2024-12-31,0.1595267421874188,Bank_Bonds,72599350.60563985,0.05314125707881839,mock_generator,1.0
REPO_00000016,repo,50602,49439846.71891197,RUB,2024-12-31,2025-01-01,0.15609600757967695,REPO_CPTY_016,bank,2024-12-31,0.15609600757967695,OFZ,53656871.033252046,0.08529606368554866,mock_generator,1.0
