instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,repo_rate,collateral_type,collateral_value,haircut,data_source,version
RREPO_00000000,reverse_repo,50402,126116016.58380802,RUB,2024-12-29,2025-01-05,0.15844129348258554,RREPO_CPTY_000,bank,2024-12-31,0.15844129348258554,OFZ,126249360.27156466,0.0010573097007709987,mock_generator,1.0
RREPO_00000001,reverse_repo,50402,58823.529411764706,USD,2024-12-30,2025-01-06,0.05008783988954734,RREPO_CPTY_001,bank,2024-12-31,0.05008783988954734,OFZ,59781.72568668655,0.01628933667367143,mock_generator,1.0
RREPO_00000002,reverse_repo,50402,61296573.79379037,RUB,2024-12-28,2025-01-04,0.15855692471551106,RREPO_CPTY_002,bank,2024-12-31,0.15855692471551106,CBR_Bonds,61543015.466481924,0.004020480386401593,mock_generator,1.0
RREPO_00000003,reverse_repo,50402,17592745.545543186,RUB,2024-12-31,2025-01-01,0.15779026244552707,RREPO_CPTY_003,bank,2024-12-31,0.15779026244552707,OFZ,18972376.502807505,0.07842044629661712,mock_generator,1.0
RREPO_00000004,reverse_repo,50402,5000000.0,RUB,2024-12-31,2025-01-07,0.15225893839122182,RREPO_CPTY_004,bank,2024-12-31,0.15225893839122182,OFZ,5375975.1518949075,0.07519503037898136,mock_generator,1.0
RREPO_00000005,reverse_repo,50402,407320.53185918403,USD,2024-12-31,2025-01-02,0.045217133439825724,RREPO_CPTY_005,bank,2024-12-31,0.045217133439825724,OFZ,407520.06561967824,0.0004898691445369607,mock_generator,1.0
RREPO_00000006,reverse_repo,50402,5998993.073993311,RUB,2024-12-31,2025-01-02,0.15683733155571247,RREPO_CPTY_006,bank,2024-12-31,0.15683733155571247,Corporate_Bonds,6355059.7884950135,0.05935441333401673,mock_generator,1.0
RREPO_00000007,reverse_repo,50401,122330092.88088287,RUB,2024-12-29,2025-01-05,0.1572443785332781,RREPO_CPTY_007,bank,2024-12-31,0.1572443785332781,Corporate_Bonds,136773281.79744604,0.11806734202864563,mock_generator,1.0
RREPO_00000008,reverse_repo,50401,20891749.708505925,RUB,2024-12-31,2025-01-01,0.15536148512643283,RREPO_CPTY_008,bank,2024-12-31,0.15536148512643283,OFZ,21555215.057857145,0.03175728977267494,mock_generator,1.0
RREPO_00000009,reverse_repo,50401,25870837.513966486,RUB,2024-12-31,2025-01-01,0.15083790597767835,RREPO_CPTY_009,bank,2024-12-31,0.15083790597767835,Corporate_Bonds,27231213.640372634,0.05258338179704256,mock_generator,1.0
RREPO_00000010,reverse_repo,50401,55069426.056374155,RUB,2024-12-27,2025-01-03,0.1570528985137672,RREPO_CPTY_010,bank,2024-12-31,0.1570528985137672,OFZ,55704043.029734686,0.011523943843374785,mock_generator,1.0
RREPO_00000011,reverse_repo,50402,5562543.74268728,RUB,2024-12-25,2025-01-24,0.15388533800095375,RREPO_CPTY_011,bank,2024-12-31,0.15388533800095375,OFZ,5766579.724467017,0.036680337489115325,mock_generator,1.0
RREPO_00000012,reverse_repo,50401,9404790.705824995,RUB,2024-12-31,2025-01-02,0.15989137209832532,RREPO_CPTY_012,bank,2024-12-31,0.15989137209832532,OFZ,10025608.90996916,0.06601084740351013,mock_generator,1.0
RREPO_00000013,reverse_repo,50401,53432278.62284271,RUB,2024-12-28,2025-01-04,0.1529649459505826,RREPO_CPTY_013,bank,2024-12-31,0.1529649459505826,CBR_Bonds,54321388.611888655,0.01663994147286548,mock_generator,1.0
RREPO_00000014,reverse_repo,50401,11064422.511449091,RUB,2024-12-31,2025-01-02,0.15861858483860322,RREPO_CPTY_014,bank,2024-12-31,0.15861858483860322,Corporate_Bonds,12659966.312593313,0.1442048872856408,mock_generator,1.0
RREPO_00000015,reverse_repo,50402,112602797.85993657,RUB,2024-12-29,2025-01-05,0.1554682523946167,RREPO_CPTY_015,bank,2024-12-31,0.1554682523946167,CBR_Bonds,116612954.94334878,0.03561329877788947,mock_generator,1.0
RREPO_00000016,reverse_repo,50401,54461063.88609559,RUB,2024-12-31,2025-01-01,0.15034537043972762,RREPO_CPTY_016,bank,2024-12-31,0.15034537043972762,OFZ,57274401.00876789,0.05165777019259751,mock_generator,1.0
RREPO_00000017,reverse_repo,50402,33674460.50391432,RUB,2024-12-28,2025-01-27,0.15000172528818193,RREPO_CPTY_017,bank,2024-12-31,0.15000172528818193,CBR_Bonds,34397456.238220185,0.021470150478634428,mock_generator,1.0
RREPO_00000018,reverse_repo,50401,5000000.0,RUB,2024-12-27,2025-01-03,0.1571869374085433,RREPO_CPTY_018,bank,2024-12-31,0.1571869374085433,OFZ,5026148.412727961,0.005229682545592285,mock_generator,1.0
RREPO_00000019,reverse_repo,50401,106616310.22432002,RUB,2024-12-30,2025-01-01,0.1576487462793538,RREPO_CPTY_019,bank,2024-12-31,0.1576487462793538,Corporate_Bonds,117533369.448414,0.10239577041378148,mock_generator,1.0
RREPO_00000020,reverse_repo,50401,738292.6073343885,USD,2024-12-29,2025-01-28,0.05361027090956341,RREPO_CPTY_020,bank,2024-12-31,0.05361027090956341,OFZ,790777.9776917057,0.07109020168414791,mock_generator,1.0
RREPO_00000021,reverse_repo,50401,14049312.183535647,RUB,2024-12-25,2025-01-08,0.153532868690155,RREPO_CPTY_021,bank,2024-12-31,0.153532868690155,Corporate_Bonds,15362016.291392935,0.09343547148134712,mock_generator,1.0
RREPO_00000022,reverse_repo,50401,39814772.31692561,RUB,2024-12-31,2025-01-02,0.1579540762242162,RREPO_CPTY_022,bank,2024-12-31,0.1579540762242162,OFZ,40723642.52945044,0.022827462261751082,mock_generator,1.0
RREPO_00000023,reverse_repo,50402,19314914.999783337,RUB,2024-12-29,2025-01-28,0.15963464099435706,RREPO_CPTY_023,bank,2024-12-31,0.15963464099435706,OFZ,19671258.836943943,0.018449153784244273,mock_generator,1.0
RREPO_00000024,reverse_repo,50402,11496513.874894675,RUB,2024-12-31,2025-01-01,0.1547676330400371,RREPO_CPTY_024,bank,2024-12-31,0.1547676330400371,OFZ,11584198.32073522,0.007627046493809316,mock_generator,1.0
RREPO_00000025,reverse_repo,50401,40053833.12123174,RUB,2024-12-31,2025-01-01,0.157569237540807,RREPO_CPTY_025,bank,2024-12-31,0.157569237540807,Corporate_Bonds,44541202.06081032,0.11203344573780397,mock_generator,1.0
RREPO_00000026,reverse_repo,50402,21168851.063698467,RUB,2024-12-31,2025-01-02,0.15784529314325355,RREPO_CPTY_026,bank,2024-12-31,0.15784529314325355,OFZ,21926594.941366892,0.03579522929177049,mock_generator,1.0
RREPO_00000027,reverse_repo,50402,127664544.31139565,RUB,2024-12-31,2025-01-01,0.1504586577314655,RREPO_CPTY_027,bank,2024-12-31,0.1504586577314655,Corporate_Bonds,140637444.30703413,0.10161709396772976,mock_generator,1.0
RREPO_00000028,reverse_repo,50402,1562528.5799568924,USD,2024-12-31,2025-01-02,0.04774797734225467,RREPO_CPTY_028,bank,2024-12-31,0.04774797734225467,OFZ,1637994.8602466162,0.04829753596686584,mock_generator,1.0
RREPO_00000029,reverse_repo,50401,37089041.27331708,RUB,2024-12-29,2025-01-28,0.15496050289568208,RREPO_CPTY_029,bank,2024-12-31,0.15496050289568208,OFZ,37431770.297033004,0.009240708628467473,mock_generator,1.0
RREPO_00000030,reverse_repo,50402,6595038.122602296,RUB,2024-12-25,2025-01-08,0.15872966797085777,RREPO_CPTY_030,bank,2024-12-31,0.15872966797085777,OFZ,6970589.194899616,0.05694448846478145,mock_generator,1.0
RREPO_00000031,reverse_repo,50402,685637.1841493802,USD,2024-12-28,2025-01-27,0.05489594362392927,RREPO_CPTY_031,bank,2024-12-31,0.05489594362392927,OFZ,725061.119985778,0.057499705015719334,mock_generator,1.0
RREPO_00000032,reverse_repo,50402,83832.75513199647,USD,2024-12-31,2025-01-02,0.05160412655108103,RREPO_CPTY_032,bank,2024-12-31,0.05160412655108103,Corporate_Bonds,93952.45398633074,0.12071294613186219,mock_generator,1.0
RREPO_00000033,reverse_repo,50401,5000000.0,RUB,2024-12-26,2025-01-02,0.1503331298672332,RREPO_CPTY_033,bank,2024-12-31,0.1503331298672332,Corporate_Bonds,5483764.9655015785,0.0967529931003157,mock_generator,1.0
RREPO_00000034,reverse_repo,50401,7184913.94291567,RUB,2024-12-28,2025-01-11,0.15018704822393075,RREPO_CPTY_034,bank,2024-12-31,0.15018704822393075,CBR_Bonds,7365793.655474494,0.025174930972857695,mock_generator,1.0
RREPO_00000035,reverse_repo,50402,50337687.6913049,RUB,2024-12-28,2025-01-11,0.15644182770557322,RREPO_CPTY_035,bank,2024-12-31,0.15644182770557322,CBR_Bonds,50831153.945129864,0.00980311723595924,mock_generator,1.0
RREPO_00000036,reverse_repo,50401,28917036.93165249,RUB,2024-12-31,2025-01-01,0.1589973695827357,RREPO_CPTY_036,bank,2024-12-31,0.1589973695827357,OFZ,31113549.71221553,0.07595912353519002,mock_generator,1.0
RREPO_00000037,reverse_repo,50402,145013857.8482256,RUB,2024-12-27,2025-01-03,0.15238484316432,RREPO_CPTY_037,bank,2024-12-31,0.15238484316432,CBR_Bonds,148306545.50644076,0.022706020700872135,mock_generator,1.0
