instrument_type,count,total_amount,avg_amount,sign
loans,80000,1745087657489.325,21813595.71861656,Asset
deposits,70000,887676578787.9856,12681093.982685508,Liability
interbank,20000,-11419411432.039694,-570970.5716019847,Mixed
repo,6000,682206210503.3291,113701035.08388819,Liability
reverse_repo,4000,347546188186.5457,86886547.04663643,Asset
current_accounts,10000,89969277278.96875,8996927.727896875,Liability
correspondent_accounts,4000,126841942638.7537,31710485.659688424,Mixed
other_assets,2000,22335428265.8743,11167714.132937148,Asset
other_liabilities,2000,41426848458.7655,20713424.22938275,Liability
off_balance,2000,179293320357.1506,89646660.1785753,Off-Balance
