currency,bucket,repricing_gap
RUB,3-6m,159654323410.4032
RUB,1-3m,143467694727.4768
RUB,2-3y,228399433873.66757
RUB,1-2y,249110789388.4099
RUB,6-12m,266758358945.2892
RUB,5-7y,203090652845.90625
RUB,7-10y,147717908400.70193
RUB,10y+,98539746898.26768
RUB,3-5y,282680088375.39777
RUB,0-1m,-124885875789.56718
CNY,5-7y,90114406.23965126
CNY,1-2y,171549339.23485896
CNY,1-3m,128596173.81128703
CNY,3-5y,225032705.9293126
CNY,3-6m,161152368.0058971
CNY,7-10y,90347112.67571877
CNY,10y+,98862456.33805677
CNY,2-3y,171579828.58089194
CNY,6-12m,183038256.6597402
CNY,0-1m,189898503.34931797
EUR,6-12m,318778951.8082527
EUR,5-7y,264601729.28805503
EUR,1-2y,533945484.1459435
EUR,1-3m,343940350.4529311
EUR,3-5y,638150001.4235077
EUR,2-3y,427354273.9843208
EUR,10y+,145425987.19812757
EUR,3-6m,321780308.2540241
EUR,7-10y,339178575.6160037
EUR,0-1m,251882012.07896334
USD,10y+,233371826.74184313
USD,6-12m,641942640.3512253
USD,5-7y,636497666.014844
USD,2-3y,539261297.2797254
USD,3-6m,382580751.4767178
USD,1-3m,319783735.2757094
USD,1-2y,738419196.7266914
USD,3-5y,769574992.9454833
USD,7-10y,318640420.7492536
USD,0-1m,535742655.55677795
